"Whisky","Meta Critic","STDEV","#","Cost","Class","Super Cluster","Cluster","Country","Type"
"Highland Park Valkyrie","8.61","0.21","11","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Macallan 25yo Fine Oak","8.61","0.27","3","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Red Spot 15yo","8.61","0.35","9","$$$$$","SingleMalt-like","ABC","C","Ireland","Malt"
"Swiss Highland Classic Single Malt","8.61","0.39","4","$$$$$","SingleMalt-like","ABC","C","Switzerland","Malt"
"Highland Park Magnus (2017)","8.60","0.18","8","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Dalmore Port Wood Reserve","8.59","0.28","6","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Tobermory 15yo","8.59","0.35","18","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Balvenie 16yo Triple Cask","8.58","0.24","11","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"GlenDronach 12yo Original","8.58","0.23","27","$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"GlenDronach 18yo Marsala Finish","8.58","0.13","5","$$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Glenfarclas 12yo","8.58","0.32","24","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenmorangie Dornoch","8.58","0.47","9","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenmorangie Quinta Ruban","8.58","0.42","30","$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Aberfeldy 18yo","8.57","0.30","9","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Ben Nevis 10yo Cask Strength","8.56","0.24","4","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Bowmore 12yo Enigma","8.56","0.37","12","$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Kilchoman Madeira Cask Matured","8.56","0.53","11","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Amrut Naarangi","8.55","0.50","18","$$$$$","SingleMalt-like","ABC","C","India","Malt"
"Bowmore 15yo Darkest","8.55","0.35","28","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Laphroaig PX Triple Matured","8.55","0.62","24","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Macallan 12yo Sherry Oak","8.55","0.41","29","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Santis Alpstein (all editions)","8.55","0.06","3","$$$$$","SingleMalt-like","ABC","C","Switzerland","Malt"
"Spirit of Hven Sankt Claus","8.55","0.59","3","$$$$$","SingleMalt-like","ABC","C","Sweden","Malt"
"Glen Garioch 1999 Sherry Cask Matured","8.54","0.82","12","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Glenfarclas 1968-2000 54.2% (OB, Old Stock Reserve, Ceramic)","8.54","0.24","3","$$$$$+","SingleMalt-like","ABC","B","Scotland","Malt"
"Glenfiddich 15yo Solera","8.54","0.29","32","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glengoyne 12yo Cask Strength","8.54","0.43","10","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Glenmorangie A Midwinter Night’s Dram","8.54","0.31","8","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Ben Nevis 10yo (all editions)","8.53","0.51","17","$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Dalwhinnie Distillers Edition","8.53","0.29","13","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Macallan 30yo Fine Oak","8.53","0.37","6","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour Casg Annamh","8.52","0.31","10","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Talisker Port Ruighe","8.52","0.38","22","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Tomatin Oloroso Sherry 1995","8.52","0.58","4","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Tyrconnell 10yo Port Cask Finish","8.52","0.31","12","$$$$","SingleMalt-like","ABC","B","Ireland","Malt"
"Glen Garioch 15yo Sherry Cask Matured","8.51","0.67","4","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Glengoyne Cask Strength (batch 4)","8.51","0.27","8","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Glenmorangie Duthac","8.51","0.27","9","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Macallan Whisky Maker's Edition","8.51","0.39","14","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Redbreast All Sherry Single Cask 1999","8.51","0.89","5","$$$$$","SingleMalt-like","ABC","A","Ireland","Malt"
"Teerenpeli Distiller’s Choice AURA","8.51","0.08","3","$$$$$","SingleMalt-like","ABC","C","Finland","Malt"
"Amrut PX Sherry Single Cask 2701","8.50","0.74","3","$$$$","SingleMalt-like","ABC","B","India","Malt"
"Dalmore 18yo","8.50","0.39","18","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Kavalan Sherry Oak","8.50","0.51","11","$$$$$","SingleMalt-like","ABC","B","Taiwan","Malt"
"Mackmyra Skordetid","8.50","0.67","6","$$$$$","SingleMalt-like","ABC","C","Sweden","Malt"
"Arran Malt Sherry Single Cask","8.49","0.53","10","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenlivet Nadurra Oloroso","8.49","0.54","14","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glengoyne 12yo","8.48","0.34","16","$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Glengoyne 15yo","8.48","0.50","11","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Mackmyra Midvinter","8.48","0.58","3","$$$","SingleMalt-like","ABC","C","Sweden","Malt"
"Penderyn Portwood","8.48","0.33","6","$$$","SingleMalt-like","ABC","C","Wales","Malt"
"Singleton of Glen Ord 18yo","8.47","0.35","5","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Westland Winter 2016","8.47","0.51","6","$$$$","SingleMalt-like","ABC","C","USA","Malt"
"Glenfiddich 19yo Age of Discovery (Madeira Cask)","8.46","0.47","15","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Jura 16yo Diurach's Own","8.46","0.37","16","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenglassaugh 26yo","8.45","0.57","8","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Glengoyne Cask Strength (batch 3)","8.45","0.76","6","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Highland Park Dark Origins","8.45","0.46","26","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Ledaig 1996","8.45","0.77","3","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Smogen Primör","8.45","0.27","4","$$$$$","SingleMalt-like","ABC","C","Sweden","Malt"
"Westland Sherry Wood","8.45","0.43","20","$$$$","SingleMalt-like","ABC","B","USA","Malt"
"BenRiach 15yo Tawny Port Finish","8.44","0.30","13","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Bushmills 16yo Single Malt","8.44","0.49","20","$$$$","SingleMalt-like","ABC","B","Ireland","Malt"
"Glenmorangie Milsean","8.44","0.38","13","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glentauchers 1991 18yo (Gordon & MacPhail)","8.44","0.23","3","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Green Spot Chateau Montelena","8.44","0.28","7","$$$$","SingleMalt-like","ABC","C","Ireland","Blend"
"Tyrconnell 10yo Sherry Cask Finish","8.43","0.34","9","$$$$","SingleMalt-like","ABC","B","Ireland","Malt"
"Dalmore Cigar Malt","8.42","0.38","8","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Highland Park 12yo Saint Magnus","8.42","0.37","6","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Macallan 10yo Sherry Oak","8.42","0.32","11","$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Balvenie 12yo Doublewood","8.41","0.33","29","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Blair Athol 12yo (F&F)","8.40","0.44","9","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenmorangie The Tayne","8.40","0.36","11","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Lismore 21yo","8.40","0.18","4","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenmorangie Lasanta","8.39","0.36","28","$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour 12yo Double Cask Matured","8.38","0.25","21","$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Bruichladdich Rocks","8.38","0.34","12","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glen Moray Classic Sherry Cask finish","8.38","0.21","6","$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Arran Malt Sherry Cask Finish","8.37","0.54","12","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Dalmore 15yo","8.37","0.41","24","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Wemyss Malts The Spice King","8.37","0.31","13","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberfeldy 16yo","8.36","0.25","4","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenfarclas 10yo","8.35","0.32","19","$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Jura 21yo","8.35","0.75","7","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Bushmills Black Bush","8.34","0.37","25","$$","SingleMalt-like","ABC","C","Ireland","Blend"
"GlenDronach 14yo Sauternes Cask Finish","8.34","0.42","6","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glen Moray Classic Port Cask finish","8.33","0.20","5","$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Teeling Single Malt","8.33","0.32","12","$$$$","SingleMalt-like","ABC","C","Ireland","Malt"
"Arran Malt Pomerol Bordeaux Cask Finish","8.32","0.69","8","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Bladnoch 15yo Adela","8.32","0.34","9","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Kavalan Concertmaster Port Cask","8.31","0.55","25","$$$$","SingleMalt-like","ABC","C","Taiwan","Malt"
"Timorous Beastie","8.31","0.39","9","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Balvenie 12yo Triple Cask","8.30","0.43","12","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glen Scotia Double Cask","8.30","0.55","12","$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glencadam 12yo Port Wood Finish","8.30","0.36","6","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenfiddich Malt Master's Edition","8.29","0.29","8","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Laphroaig Select","8.29","0.37","17","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Tomatin Cu Bocan Sherry Edition","8.29","0.29","4","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Auchentoshan Three Wood","8.28","0.41","30","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Dalmore Cigar Malt Reserve","8.28","0.66","15","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenfiddich Reserve Cask","8.28","0.31","9","$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Benrinnes 15yo F&F","8.27","0.84","7","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Dalmore King Alexander III","8.27","0.43","13","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Jura 12yo Elixir","8.27","0.48","11","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Jura 21yo 200th Anniversary","8.27","0.82","4","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Jura Seven Wood","8.27","0.23","6","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Ohishi Sherry Cask","8.27","0.51","8","$$$$","SingleMalt-like","ABC","C","Japan","Malt"
"Writers Tears Red Head Single Malt","8.27","0.35","11","$$$","SingleMalt-like","ABC","C","Ireland","Malt"
"Game of Thrones House Baratheon Royal Lochnagar 12 ans","8.26","0.33","11","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour 10yo","8.25","0.40","19","$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Ben Nevis 10yo (old label, pre-2017)","8.25","0.46","12","$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Bushmills Sherry Cask Reserve","8.25","0.40","5","$$$$","SingleMalt-like","ABC","C","Ireland","Malt"
"Singleton of Dufftown Tailfire","8.23","0.42","5","$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glen Moray 16yo","8.22","0.56","8","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Bowmore Black Rock","8.21","0.34","9","$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenrothes Robur Reserve","8.21","0.49","6","$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Macallan Select Oak","8.21","0.31","14","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Wemyss Malts Velvet Fig","8.21","1.22","5","$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glen Garioch 16yo Renaissance Chapter 2","8.20","0.49","6","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenglassaugh Revival","8.20","0.48","14","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Nantou (Omar) Yushan Sherry Cask","8.16","0.36","11","$$$$","SingleMalt-like","ABC","C","Taiwan","Malt"
"Tullibardine 500 Sherry Finish","8.16","0.29","10","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Mackmyra Blomstertid","8.10","0.26","3","$$$$","SingleMalt-like","ABC","C","Sweden","Malt"
"Glenrothes Sherry Cask Reserve","8.09","0.67","12","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Dalmore Gran Reserva","8.05","0.34","10","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Bladnoch Samsara","8.04","0.59","5","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Longmorn Distiller's Choice","8.01","0.43","9","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Penderyn Madeira","8","0.94","15","$$$$","SingleMalt-like","ABC","B","Wales","Malt"
"Royal Lochnagar 12yo","7.99","0.33","15","$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Lohin McKinnon Wine Barrel Finished (Black Sage)","7.98","0.64","6","$$$","SingleMalt-like","ABC","C","Canada","Malt"
"Jura 16yo","7.94","0.54","5","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Jura 18yo","7.94","0.68","8","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Tullibardine 1993 Port","7.94","0.39","5","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Penderyn Sherrywood","7.9","0.64","12","$$$$","SingleMalt-like","ABC","B","Wales","Malt"
"Jura Turas Mara","7.87","0.54","5","$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Amrut PX Sherry Single Cask 2702","7.85","0.95","3","$$$$","SingleMalt-like","ABC","B","India","Malt"
"Singleton of Dufftown Spey Cascade","7.44","0.64","3","$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Ichiro's Malt The Joker","9.22","0.19","4","$$$$$+","SingleMalt-like","EF","F","Japan","Malt"
"Hibiki 21yo","9.17","0.25","10","$$$$$+","SingleMalt-like","EF","E","Japan","Blend"
"Cragganmore 12yo (Special Release 2019)","9.16","0.15","3","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Bruichladdich Black Art 7.x 1994","9.14","0.14","4","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Bruichladdich Black Art 6.x 1990","9.13","0.20","9","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Bunnahabhain 40yo","9.12","0.37","6","$$$$$+","SingleMalt-like","EF","F","Scotland","Malt"
"Bruichladdich Black Art 3.x 1989","9.11","0.37","15","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Midleton Very Rare 2017","9.08","0.29","4","$$$$$","SingleMalt-like","EF","E","Ireland","Blend"
"Glenfiddich 30yo","9.07","0.11","4","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Glencadam 25yo","9.06","0.04","4","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Midleton Dair Ghaelach","9.06","0.40","10","$$$$$","SingleMalt-like","EF","E","Ireland","Blend"
"Amrut Virgin Oak Single Cask","9.04","0.25","5","$$$$","SingleMalt-like","EF","E","India","Malt"
"Bruichladdich Black Art 2.x 1989","9.03","0.24","9","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Redbreast 12yo Cask Strength","9.03","0.27","27","$$$$","SingleMalt-like","EF","E","Ireland","Malt"
"Cragganmore 25yo","9.01","0.05","4","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Mackmyra Reserve Single Cask (various casks)","9.01","0.50","7","$$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Amrut Double Cask","8.98","0.19","13","$$$$","SingleMalt-like","EF","E","India","Malt"
"Aultmore 25yo","8.97","0.24","5","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Yamazaki Mizunara","8.96","0.22","9","$$$$$+","SingleMalt-like","EF","E","Japan","Malt"
"Compass Box 3yo Deluxe","8.95","0.34","13","$$$$$+","SingleMalt-like","EF","F","Scotland","Malt"
"Old Pulteney 25yo","8.95","0.21","6","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"GlenDronach 19yo Madeira Finish","8.94","0.37","8","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Arran Malt 18yo","8.93","0.14","19","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Bruichladdich The Organic 2010","8.93","0.16","4","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Kanosuke New Born 2018 8mo","8.93","0.23","4","$$$$","SingleMalt-like","EF","F","Japan","Malt"
"Craigellachie 23yo","8.92","0.21","13","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Glenlivet Nadurra First Fill (White Oak)","8.92","0.25","5","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Yamazaki Limited Edition 2016","8.92","0.28","3","$$$$$+","SingleMalt-like","EF","E","Japan","Malt"
"Tomatin Decades","8.91","0.55","9","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Amrut Herald","8.90","0.16","6","$$$$","SingleMalt-like","EF","E","India","Malt"
"Bruichladdich Black Art 5.x 1992","8.90","0.32","10","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Amrut Fusion","8.89","0.24","32","$$$$","SingleMalt-like","EF","E","India","Malt"
"Glenmorangie Ealanta","8.89","0.26","19","$$$$$+","SingleMalt-like","EF","F","Scotland","Malt"
"Kavalan ex-Bourbon Oak","8.89","0.25","7","$$$$","SingleMalt-like","EF","E","Taiwan","Malt"
"Macallan Edition No. 2","8.89","0.24","23","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Caol Ila 18yo Unpeated 2017","8.88","0.29","15","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Compass Box Spice Tree Extravaganza","8.87","0.28","12","$$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Glen Grant 25yo","8.87","0.16","3","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Macallan Edition No. 4","8.87","0.36","13","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Arran Malt The Devil’s Punch Bowl (all chapters)","8.86","0.31","10","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Balblair 15yo","8.86","0.10","6","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Arran Malt Bourbon Single Cask","8.85","0.26","10","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Compass Box Phenomenology","8.85","0.44","12","$$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Mortlach 16yo","8.85","0.22","12","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Arran Malt 17yo","8.84","0.25","11","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Macallan Edition No. 6","8.84","0.14","3","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenmorangie Astar","8.83","0.33","21","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Kavalan Solist Ex-Bourbon","8.83","0.25","25","$$$$$","SingleMalt-like","EF","E","Taiwan","Malt"
"Glenlivet 21yo Archive (all batches)","8.82","0.26","15","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Mackmyra Moment Glöd","8.82","0.45","4","$$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Bruichladdich 21yo Cuvée 382 La Berenice","8.81","0.59","10","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Bruichladdich 21yo Cuvée 640 Eroica","8.81","0.43","11","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Mackmyra Moment Urberg","8.81","0.27","3","$$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Midleton Very Rare (all vintages)","8.81","0.39","15","$$$$$","SingleMalt-like","EF","E","Ireland","Blend"
"BenRiach 25yo","8.80","0.44","17","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Glen Grant Five Decades","8.80","0.21","6","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Hibiki 17yo","8.80","0.31","20","$$$$$","SingleMalt-like","EF","E","Japan","Blend"
"High Coast (Box) The 2nd Step Collection 02","8.80","0.15","9","$$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Paul John Single Cask","8.8","0.62","8","$$$$","SingleMalt-like","EF","E","India","Malt"
"Amrut Two Continents","8.79","0.46","15","$$$$","SingleMalt-like","EF","E","India","Malt"
"Game of Thrones House Tyrell Clynelish Reserve","8.79","0.21","10","$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Midleton Very Rare 2016","8.79","0.34","4","$$$$$","SingleMalt-like","EF","E","Ireland","Blend"
"Nikka From the Barrel","8.79","0.34","32","$$$","SingleMalt-like","EF","F","Japan","Blend"
"Auchentoshan 21yo","8.78","0.27","15","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Macallan Edition No. 1","8.78","0.46","11","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Arran Malt Tokaji Aszu Wine Finish","8.77","0.35","4","$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Hakushu 18yo","8.77","0.31","10","$$$$$","SingleMalt-like","EF","F","Japan","Malt"
"Nikka Taketsuru 17yo","8.77","0.27","16","$$$$$","SingleMalt-like","EF","E","Japan","Malt"
"Old Pulteney 17yo","8.77","0.28","25","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Two Brewers Release 14 Innovative","8.77","0.32","6","$$$$","SingleMalt-like","EF","E","Canada","Malt"
"Two Brewers Release 21 Classic","8.77","0.09","3","$$$$","SingleMalt-like","EF","E","Canada","Malt"
"Westland Single Cask","8.77","0.14","6","$$$$","SingleMalt-like","EF","E","USA","Malt"
"Aberfeldy 21yo","8.76","0.21","10","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Compass Box Spice Tree","8.76","0.34","29","$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Kininvie 17yo (all batches)","8.76","0.29","10","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Mortlach Special Strength","8.76","0.61","6","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Strathmill 25yo","8.76","0.48","4","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Cragganmore NAS (Special Release 2016)","8.75","0.63","5","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenfiddich Winter Storm 21yo Experimental Series No. 3","8.75","0.38","9","$$$$$+","SingleMalt-like","EF","F","Scotland","Malt"
"Macallan Edition No. 3","8.75","0.25","15","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Arran Malt Napoleon Cognac Finish","8.74","0.70","5","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glen Scotia 15yo","8.74","0.33","15","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenfiddich Cask of Dreams","8.74","0.21","8","$$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Mackmyra Special 04","8.74","0.37","8","$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Old Pulteney 15yo","8.74","0.42","9","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Redbreast 15yo","8.74","0.26","20","$$$$","SingleMalt-like","EF","E","Ireland","Malt"
"Amrut Bourbon Single Cask","8.73","0.36","13","$$$$","SingleMalt-like","EF","E","India","Malt"
"Balvenie 12yo Single Barrel","8.73","0.37","18","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Clynelish 14yo","8.73","0.30","23","$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Glenfiddich 19yo Age of Discovery (Bourbon Cask)","8.73","0.27","10","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Mackmyra Moment Rimfrost","8.73","0.39","3","$$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Glenmorangie 18yo","8.72","0.27","21","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"AnCnoc 18yo","8.71","0.32","15","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Bruichladdich Black Art 4.x 1990","8.71","0.56","17","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Redbreast 12yo","8.71","0.41","26","$$$","SingleMalt-like","EF","E","Ireland","Malt"
"Glen Garioch 12yo","8.70","0.29","21","$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Glenfiddich Project XX Experimental Series No. 2","8.70","0.26","14","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"High Coast (Box) The Festival 2016","8.70","0.03","3","$$$$$","SingleMalt-like","EF","F","Sweden","Malt"
"Shelter Point French Oak Double Barreled","8.7","0.42","4","$$$$","SingleMalt-like","EF","E","Canada","Malt"
"Balvenie 25yo Single Barrel","8.69","0.78","4","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Macallan 18yo Fine Oak","8.69","0.26","9","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Bunnahabhain 12yo","8.68","0.28","33","$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Mortlach 18yo","8.68","0.63","10","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Glenfiddich 15yo Distillery Edition","8.67","0.28","20","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Macallan Edition No. 5","8.67","0.30","8","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Mackmyra Special 03","8.67","0.29","7","$$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Bruichladdich The Organic 2009","8.66","0.44","5","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Caol Ila 17yo Unpeated 2015","8.66","0.45","14","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Ichiro's Malt Double Distilleries","8.66","0.24","10","$$$$$","SingleMalt-like","EF","E","Japan","Malt"
"Nikka Coffey Malt","8.66","0.46","16","$$$$","SingleMalt-like","EF","E","Japan","Malt"
"Two Brewers Release 17 Innovative","8.66","0.25","4","$$$$","SingleMalt-like","EF","E","Canada","Malt"
"Two Brewers Release 04 Special Finishes","8.65","0.22","4","$$$$","SingleMalt-like","EF","E","Canada","Malt"
"Bruichladdich The Organic (Mid Coul, Coulmore, Mains of Tullibardine Farms)","8.64","0.26","7","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Matsui Sakura Cask","8.64","0.41","4","$$$$","SingleMalt-like","EF","F","Japan","Malt"
